alpha,cl,cd,cm,
-10,0.01785093,0.1271626,-0.07012056,
-9.5,0.05234189,0.1201329,-0.07665579,
-9,0.07964588,0.1132167,-0.08398057,                                                                 
-7,0.3169872,0.08178441,-0.1307502,
-6.5,0.3297824,0.07896961,-0.1291624,
-6,0.3288197,0.07524875,-0.1282763,
-5.5,0.3433592,0.07260359,-0.125018,
-5,0.3474109,0.07021203,-0.1213277,
-4.5,0.3406634,0.0666957,-0.118052,
-4,0.3565169,0.06391171,-0.1161444,
-3.5,0.3784637,0.05858695,-0.1223547,
-1,0.9156761,0.02149742,-0.2299575,
-0.5,1.123538,0.01513602,-0.2647225,
0.5,1.255834,0.01519063,-0.2682749,
1,1.321783,0.01523918,-0.2700366,
1.5,1.382173,0.0154606,-0.2706724,
2,1.440608,0.0159634,-0.2708759,
2.5,1.493807,0.01631716,-0.2698923,
3,1.548291,0.01671201,-0.2692493,
3.5,1.602839,0.01718343,-0.2686797,
4,1.661092,0.01769452,-0.2689864,
4.5,1.714966,0.01809457,-0.2683528,
5.5,1.825985,0.01903162,-0.267996,
6.5,1.935706,0.01975882,-0.2675799,
7,1.980363,0.02028906,-0.2651967,
7.5,2.025563,0.02096085,-0.2630608,
8,2.065171,0.02154862,-0.2597556,
8.5,2.105626,0.02217998,-0.2567235,
9,2.149617,0.02299799,-0.2545599,
9.5,2.18534,0.02374622,-0.250741,
10,2.220805,0.02455882,-0.2469999,
10.5,2.255487,0.02554719,-0.2432845,
11,2.285687,0.02653902,-0.2388135,
11.5,2.315501,0.02775972,-0.2345178,
12,2.341578,0.02898806,-0.229718,
12.5,2.366705,0.03052884,-0.2250749,
13,2.390353,0.03219449,-0.2204696,
13.5,2.41156,0.03417024,-0.2158536,
14,2.426077,0.03679042,-0.2108068,
14.5,2.429899,0.04059302,-0.2052196,
15,2.421069,0.0460709,-0.1995241,
15.5,2.396181,0.05408642,-0.1944803,
16,2.356537,0.0651658,-0.1912968,
16.5,2.303724,0.07929124,-0.1902457,
17,2.246315,0.09506568,-0.1912289,
17.5,2.195156,0.1104618,-0.1938034,
18,2.156499,0.1239653,-0.1971324,
18.5,2.128855,0.1355615,-0.2007226,
19,2.107388,0.1460495,-0.2045932,
19.5,2.094973,0.1548966,-0.2082157,
20,2.089108,0.1625322,-0.2115895,
