alpha,cl,cd,cm
-10,0.08031719,0.1127722,-0.09030877
-9.5,0.09816625,0.1080227,-0.09216655
-9,0.1180537,0.1030767,-0.09472134
-8.5,0.139266,0.09796178,-0.0976336
-8,0.1569823,0.09350059,-0.09953061
-7.5,0.1765907,0.08876636,-0.1021957
-7,0.1973196,0.0839178,-0.1052769
-6.5,0.2198339,0.07882408,-0.1089714
-6,0.2428296,0.07373324,-0.1133256
-4.5,0.2503077,0.06046178,-0.1241589
-4,0.2868325,0.05638285,-0.1279455
-3.5,0.3289474,0.05244176,-0.1330222
-3,0.3805624,0.04737535,-0.1423735
-2.5,0.4680334,0.03748936,-0.1658098
-2,0.5809943,0.0167882,-0.1923252
-1.5,0.6455943,0.014334,-0.1944644
-1,0.7064426,0.01331316,-0.1954867
-0.5,0.7653214,0.01290523,-0.1960912
0,0.8211153,0.01293963,-0.1960933
1,0.8733564,0.01322952,-0.19585
1.5,0.9264805,0.0139362,-0.1956761
2,0.9824853,0.01445169,-0.1961276
2.5,1.037932,0.015001,-0.1964931
3,1.09357,0.01543342,-0.1972087
3.5,1.147622,0.01604607,-0.1975083
4,1.20028,0.01672005,-0.1976702
4.5,1.248633,0.0178751,-0.1971085
5,1.282863,0.02068997,-0.1946684
5.5,1.403724,0.01840444,-0.1959392
6,1.454214,0.01795769,-0.1950541
6.5,1.501475,0.01784093,-0.1936046
7,1.551962,0.01788033,-0.1929579
7.5,1.600725,0.01791623,-0.1920051
8,1.646717,0.01791257,-0.190527
8.5,1.687203,0.01801141,-0.188065
9,1.725168,0.01828687,-0.1853072
9.5,1.75791,0.01886927,-0.1818596
10,1.751333,0.02130428,-0.1729488
10.5,1.756233,0.02396284,-0.1668132
11,1.739027,0.02828212,-0.1588377
11.5,1.696558,0.0358273,-0.1506941
12,1.638433,0.04664204,-0.144456
12.5,1.564414,0.06557877,-0.1371388
13,1.540368,0.07512005,-0.1362907
13.5,1.467798,0.09256504,-0.1376935
14,1.474556,0.09774846,-0.136969
14.5,1.487757,0.1020752,-0.1363637
15,1.49996,0.1065248,-0.1359466
15.5,1.354337,0.1371643,-0.1445736
16,1.372651,0.1402091,-0.1446697
16.5,1.391548,0.1431281,-0.1448149
17,1.410446,0.1460946,-0.1450259
17.5,1.428571,0.1492117,-0.145332
18,1.445703,0.1525153,-0.1457491
18.5,1.468638,0.1549784,-0.1460522
19,1.487281,0.1581022,-0.1465668
19.5,1.502925,0.1617507,-0.1473013
20,1.511285,0.166832,-0.1486714

