alpha,cl,cd,cm
-10,0.1634417,0.09537726,-0.1388129
-9.5,0.1933121,0.08918324,-0.1449557
-9,0.2097519,0.08402567,-0.1471921
-8.5,0.2287599,0.07859056,-0.1504442
-8,0.21139,0.06783279,-0.1532895
-7.5,0.2268174,0.06323586,-0.154502
-7,0.2385022,0.05920979,-0.1546677
-6.5,0.2445056,0.05492849,-0.1552648
-6,0.2623259,0.04903706,-0.1619279
-5.5,0.2858672,0.03919915,-0.1756165
-5,0.3239666,0.03117147,-0.1837305
-4.5,0.3800173,0.03024454,-0.1849611
-4,0.4315105,0.0160962,-0.1915098
-3.5,0.487909,0.0125186,-0.1918185
-3,0.5462336,0.01107364,-0.192098
-2.5,0.6052693,0.01047038,-0.1924258
-2,0.6637812,0.01032607,-0.1927617
-1.5,0.7201489,0.009774503,-0.1931616
-1,0.7763848,0.009543161,-0.1933705
-0.5,0.8321515,0.009427706,-0.1934871
0,0.8888993,0.009208044,-0.1940172
0.5,0.9432655,0.008987765,-0.1938305
1,0.9956467,0.009048601,-0.1930208
1.5,1.047597,0.009182277,-0.1921939
2.5,1.135585,0.009108977,-0.1868404
3,1.186737,0.009490715,-0.1861593
3.5,1.238114,0.009750182,-0.1855065
4,1.28363,0.01021637,-0.1837331
4.5,1.331528,0.01061004,-0.1824877
5,1.374457,0.01102669,-0.1802538
5.5,1.411022,0.01172256,-0.1769253
6,1.453928,0.01212905,-0.1748471
6.5,1.486864,0.01290474,-0.1710685
7,1.524174,0.01362882,-0.1682449
7.5,1.559986,0.01437799,-0.1652747
8,1.584559,0.01563965,-0.1606446
8.5,1.621793,0.01643517,-0.1582363
9,1.649069,0.01772019,-0.1544795
9.5,1.670693,0.01941304,-0.1501549
10,1.703505,0.02058517,-0.1476295
10.5,1.719515,0.02268117,-0.1431474
11,1.739986,0.02474206,-0.1395391
11.5,1.766393,0.02657427,-0.1368711
12,1.771514,0.03005235,-0.1323636
12.5,1.795611,0.0322956,-0.1299489
13,1.807456,0.03561268,-0.1268152
13.5,1.811125,0.03971851,-0.123374
14,1.82451,0.04315875,-0.1211049
14.5,1.824619,0.04781392,-0.11828
15,1.828134,0.05264265,-0.116214
15.5,1.835021,0.05731912,-0.1146161
16,1.819317,0.06498776,-0.1129783
16.5,1.831529,0.06936297,-0.1122357
17,1.820824,0.07682394,-0.1117932
17.5,1.809861,0.08419746,-0.1116622
18,1.809708,0.09028774,-0.1121402
18.5,1.798005,0.097656,-0.1131125
19,1.778865,0.1057052,-0.1149137
19.5,1.781728,0.1106773,-0.1162689
20,1.766415,0.118588,-0.1190004
 , , , 
